BuoyID, Time, Date, Lat, Long, Alt, Speed, Dir, Fix, Sat
300034012022250,22:14:59,8/1/2008,74.6551416666667,-172.057246666667,5.351133,1.1627,233.86,1,8
300034012815320,22:16:50,8/1/2008,74.1415266666667,-128.502756666667,6.568157,0.0658,137.53,1,10
300034012917920,23:36:35,8/1/2008,76.538865,-158.168876666667,-4.506174,0.417,144.33,1,5
300034012022250,0:14:35.,8/2/2008,74.6582033333333,-172.081046666667,-11.42761,1.8794,247.01,1,6
300034012815320,0:16:50.,8/2/2008,74.1495566666667,-128.497301666667,5.809186,0.6872,20.99,1,8
300034012815320,2:16:54.,8/2/2008,74.1569366666667,-128.449746666667,-1.001238,1.0904,98.50,1,8
300034012022250,2:14:42.,8/2/2008,74.6571766666667,-172.077831666667,-9.141627,0.3934,189.75,1,7
300034012917920,3:33:59.,8/2/2008,76.5259933333333,-158.193145,-1.944327,0.6746,163.80,1,6
300034012022250,4:14:35.,8/2/2008,74.647305,-172.079693333333,1.408341,0.7548,170.05,1,6
300034012815320,4:16:57.,8/2/2008,74.1545516666667,-128.380776666667,1.64172,1.5991,106.57,1,11
300034012917920,5:33:59.,8/2/2008,76.5218983333333,-158.20185,8.763154,0.3854,183.08,1,6
300034012022250,6:15:05.,8/2/2008,74.6338083333333,-172.108263333333,6.396356,0.9194,219.60,1,7
300034012815320,6:17:06.,8/2/2008,74.1446,-128.308745,13.72742,1.144,128.84,1,10
300034012917920,7:34:01.,8/2/2008,76.5181583333333,-158.218685,4.99905,0.3606,237.87,1,5
300034012022250,8:15:05.,8/2/2008,74.6236583333333,-172.154515,-8.357163,4.5461,249.03,1,9
300034012815320,8:17:01.,8/2/2008,74.130225,-128.268913333333,-2.694821,0.5145,135.50,1,11
300034012917920,9:34:05.,8/2/2008,76.5189883333333,-158.22852,25.52189,1.4452,229.03,1,7
300034012022250,10:14:54,8/2/2008,74.6198983333333,-172.201468333333,-0.008027,0.5764,261.94,1,10
300034012815320,10:17:23,8/2/2008,74.1202516666667,-128.260753333333,1.141475,2.2674,293.73,1,11
300034012917920,11:34:35,8/2/2008,76.5181166666667,-158.219088333333,17.7283,0.2542,84.27,1,5
300034012022250,12:16:05,8/2/2008,74.6210633333333,-172.233871666667,6.967185,0.3309,297.24,1,5
300034012815320,12:16:59,8/2/2008,74.120305,-128.253906666667,1.504633,0.3398,76.91,1,6
300034012917920,13:35:05,8/2/2008,76.5155316666667,-158.210533333333,1.57345,0.3836,73.24,1,5
300034012022250,14:14:43,8/2/2008,74.62296,-172.23987,12.57733,0.3455,271.58,1,6
300034012815320,14:17:29,8/2/2008,74.1260383333333,-128.209596666667,3.483419,1.1115,74.29,1,9
300034012917920,15:34:05,8/2/2008,76.5130783333333,-158.20283,6.385054,0.4279,305.54,1,5
300034012022250,16:15:05,8/2/2008,74.6188066666667,-172.231476666667,-0.470925,0.4264,172.98,1,7
300034012815320,16:17:35,8/2/2008,74.124425,-128.130141666667,-3.184824,1.33,107.45,1,9
300034012917920,17:34:05,8/2/2008,76.51065,-158.194283333333,-11.68692,0.0762,180.32,1,5
